,Contig,Len,sum of seq lens in model,Coverage,Genome
3000,5235_2_1.contig00671,1289,0.0,0.0,5235_2_1
3001,5235_2_1.contig00672,1285,0.0,0.0,5235_2_1
3002,5235_2_1.contig00673,1272,0.0,0.0,5235_2_1
3003,5235_2_1.contig00674,1262,0.0,0.0,5235_2_1
3004,5235_2_1.contig00675,1261,0.0,0.0,5235_2_1
3005,5235_2_1.contig00676,1260,0.0,0.0,5235_2_1
3006,5235_2_1.contig00677,1251,0.0,0.0,5235_2_1
3007,5235_2_1.contig00678,1249,0.0,0.0,5235_2_1
3008,5235_2_1.contig00679,1239,1240.0,1.0,5235_2_1
3009,5235_2_1.contig00680,1231,1232.0,1.0,5235_2_1
3010,5235_2_1.contig00681,1223,0.0,0.0,5235_2_1
3011,5235_2_1.contig00682,1222,1120.0,0.9165302782324058,5235_2_1
3012,5235_2_1.contig00683,1221,0.0,0.0,5235_2_1
3013,5235_2_1.contig00684,1213,0.0,0.0,5235_2_1
3014,5235_2_1.contig00685,1210,0.0,0.0,5235_2_1
3015,5235_2_1.contig00686,1193,1177.0,0.9865884325230512,5235_2_1
3016,5235_2_1.contig00687,1191,0.0,0.0,5235_2_1
3017,5235_2_1.contig00688,1186,0.0,0.0,5235_2_1
3018,5235_2_1.contig00689,1154,0.0,0.0,5235_2_1
3019,5235_2_1.contig00690,1131,0.0,0.0,5235_2_1
3020,5235_2_1.contig00691,1130,0.0,0.0,5235_2_1
3021,5235_2_1.contig00692,1125,0.0,0.0,5235_2_1
3022,5235_2_1.contig00693,1107,0.0,0.0,5235_2_1
3023,5235_2_1.contig00694,1104,0.0,0.0,5235_2_1
3024,5235_2_1.contig00695,1103,0.0,0.0,5235_2_1
3025,5235_2_1.contig00696,1097,0.0,0.0,5235_2_1
3026,5235_2_1.contig00697,1076,0.0,0.0,5235_2_1
3027,5235_2_1.contig00698,1076,0.0,0.0,5235_2_1
3028,5235_2_1.contig00699,1076,0.0,0.0,5235_2_1
3029,5235_2_1.contig00700,1064,0.0,0.0,5235_2_1
3030,5235_2_1.contig00701,1057,0.0,0.0,5235_2_1
3031,5235_2_1.contig00702,1056,0.0,0.0,5235_2_1
3032,5235_2_1.contig00703,1055,0.0,0.0,5235_2_1
3033,5235_2_1.contig00704,1051,0.0,0.0,5235_2_1
3034,5235_2_1.contig00705,1034,0.0,0.0,5235_2_1
3035,5235_2_1.contig00706,1025,0.0,0.0,5235_2_1
3036,5235_2_1.contig00707,1023,0.0,0.0,5235_2_1
3037,5235_2_1.contig00708,1022,0.0,0.0,5235_2_1
3038,5235_2_1.contig00709,1013,0.0,0.0,5235_2_1
3039,5235_2_1.contig00710,1009,0.0,0.0,5235_2_1
3040,5235_2_1.contig00711,1008,0.0,0.0,5235_2_1
3041,5235_2_1.contig00712,1008,0.0,0.0,5235_2_1
3042,5235_2_1.contig00713,1000,0.0,0.0,5235_2_1
3043,5235_2_1.contig00714,986,0.0,0.0,5235_2_1
3044,5235_2_1.contig00715,982,0.0,0.0,5235_2_1
3045,5235_2_1.contig00716,980,0.0,0.0,5235_2_1
3046,5235_2_1.contig00717,978,0.0,0.0,5235_2_1
3047,5235_2_1.contig00718,969,0.0,0.0,5235_2_1
3048,5235_2_1.contig00719,956,0.0,0.0,5235_2_1
3049,5235_2_1.contig00720,951,0.0,0.0,5235_2_1
3050,5235_2_1.contig00721,926,0.0,0.0,5235_2_1
3051,5235_2_1.contig00722,925,0.0,0.0,5235_2_1
3052,5235_2_1.contig00723,924,0.0,0.0,5235_2_1
3053,5235_2_1.contig00724,924,0.0,0.0,5235_2_1
3054,5235_2_1.contig00725,921,0.0,0.0,5235_2_1
3055,5235_2_1.contig00726,900,0.0,0.0,5235_2_1
3056,5235_2_1.contig00727,889,0.0,0.0,5235_2_1
3057,5235_2_1.contig00728,889,0.0,0.0,5235_2_1
3058,5235_2_1.contig00729,879,0.0,0.0,5235_2_1
3059,5235_2_1.contig00730,868,0.0,0.0,5235_2_1
3060,5235_2_1.contig00731,868,0.0,0.0,5235_2_1
3061,5235_2_1.contig00732,867,0.0,0.0,5235_2_1
3062,5235_2_1.contig00733,867,0.0,0.0,5235_2_1
3063,5235_2_1.contig00734,862,0.0,0.0,5235_2_1
3064,5235_2_1.contig00735,861,0.0,0.0,5235_2_1
3065,5235_2_1.contig00736,860,0.0,0.0,5235_2_1
3066,5235_2_1.contig00737,858,0.0,0.0,5235_2_1
3067,5235_2_1.contig00738,855,0.0,0.0,5235_2_1
3068,5235_2_1.contig00739,851,0.0,0.0,5235_2_1
3069,5235_2_1.contig00740,845,0.0,0.0,5235_2_1
3070,5235_2_1.contig00741,837,0.0,0.0,5235_2_1
3071,5235_2_1.contig00742,830,0.0,0.0,5235_2_1
3072,5235_2_1.contig00743,821,0.0,0.0,5235_2_1
3073,5235_2_1.contig00744,818,0.0,0.0,5235_2_1
3074,5235_2_1.contig00745,815,0.0,0.0,5235_2_1
3075,5235_2_1.contig00746,809,0.0,0.0,5235_2_1
3076,5235_2_1.contig00747,792,0.0,0.0,5235_2_1
3077,5235_2_1.contig00748,790,0.0,0.0,5235_2_1
3078,5235_2_1.contig00749,785,0.0,0.0,5235_2_1
3079,5235_2_1.contig00750,780,0.0,0.0,5235_2_1
3080,5235_2_1.contig00751,763,0.0,0.0,5235_2_1
3081,5235_2_1.contig00752,758,0.0,0.0,5235_2_1
3082,5235_2_1.contig00753,742,0.0,0.0,5235_2_1
3083,5235_2_1.contig00754,728,0.0,0.0,5235_2_1
3084,5235_2_1.contig00755,715,0.0,0.0,5235_2_1
3085,5235_2_1.contig00756,712,0.0,0.0,5235_2_1
3086,5235_2_1.contig00757,709,0.0,0.0,5235_2_1
3087,5235_2_1.contig00758,709,0.0,0.0,5235_2_1
3088,5235_2_1.contig00759,702,0.0,0.0,5235_2_1
3089,5235_2_1.contig00760,691,0.0,0.0,5235_2_1
3090,5235_2_1.contig00761,683,0.0,0.0,5235_2_1
3091,5235_2_1.contig00762,682,0.0,0.0,5235_2_1
3092,5235_2_1.contig00763,676,0.0,0.0,5235_2_1
3093,5235_2_1.contig00764,670,0.0,0.0,5235_2_1
3094,5235_2_1.contig00765,665,0.0,0.0,5235_2_1
3095,5235_2_1.contig00766,656,0.0,0.0,5235_2_1
3096,5235_2_1.contig00767,649,0.0,0.0,5235_2_1
3097,5235_2_1.contig00768,646,0.0,0.0,5235_2_1
3098,5235_2_1.contig00769,641,0.0,0.0,5235_2_1
3099,5235_2_1.contig00770,626,0.0,0.0,5235_2_1
3100,5235_2_1.contig00771,626,0.0,0.0,5235_2_1
3101,5235_2_1.contig00772,621,0.0,0.0,5235_2_1
3102,5235_2_1.contig00773,616,0.0,0.0,5235_2_1
3103,5235_2_1.contig00774,615,0.0,0.0,5235_2_1
3104,5235_2_1.contig00775,612,0.0,0.0,5235_2_1
3105,5235_2_1.contig00776,603,0.0,0.0,5235_2_1
3106,5235_2_1.contig00777,575,0.0,0.0,5235_2_1
3107,5235_2_1.contig00778,574,0.0,0.0,5235_2_1
3108,5235_2_1.contig00779,570,0.0,0.0,5235_2_1
3109,5235_2_1.contig00780,557,0.0,0.0,5235_2_1
3110,5235_2_1.contig00781,548,0.0,0.0,5235_2_1
3111,5235_2_1.contig00782,548,0.0,0.0,5235_2_1
3112,5235_2_1.contig00783,541,0.0,0.0,5235_2_1
3113,5235_2_1.contig00784,535,0.0,0.0,5235_2_1
3114,5235_2_1.contig00785,526,0.0,0.0,5235_2_1
3115,5235_2_1.contig00786,524,0.0,0.0,5235_2_1
3116,5235_2_1.contig00787,522,0.0,0.0,5235_2_1
3117,5235_2_1.contig00788,509,0.0,0.0,5235_2_1
3118,5235_2_1.contig00789,509,0.0,0.0,5235_2_1
3119,5235_2_1.contig00790,505,0.0,0.0,5235_2_1
3120,5235_2_1.contig00791,490,0.0,0.0,5235_2_1
3121,5235_2_1.contig00792,489,0.0,0.0,5235_2_1
3122,5235_2_1.contig00793,485,0.0,0.0,5235_2_1
3123,5235_2_1.contig00794,471,0.0,0.0,5235_2_1
3124,5235_2_1.contig00795,470,0.0,0.0,5235_2_1
3125,5235_2_1.contig00796,467,0.0,0.0,5235_2_1
3126,5235_2_1.contig00797,444,0.0,0.0,5235_2_1
3127,5235_2_1.contig00798,417,0.0,0.0,5235_2_1
3128,5235_2_1.contig00799,416,0.0,0.0,5235_2_1
3129,5235_2_1.contig00800,410,0.0,0.0,5235_2_1
3130,5235_2_1.contig00801,404,0.0,0.0,5235_2_1
3131,5235_2_1.contig00802,398,0.0,0.0,5235_2_1
3132,5235_2_1.contig00803,398,0.0,0.0,5235_2_1
3133,5235_2_1.contig00804,398,0.0,0.0,5235_2_1
3134,5235_2_1.contig00805,393,0.0,0.0,5235_2_1
3135,5235_2_1.contig00806,378,0.0,0.0,5235_2_1
3136,5235_2_1.contig00807,375,0.0,0.0,5235_2_1
3137,5235_2_1.contig00808,374,0.0,0.0,5235_2_1
3138,5235_2_1.contig00809,370,0.0,0.0,5235_2_1
3139,5235_2_1.contig00810,369,0.0,0.0,5235_2_1
3140,5235_2_1.contig00811,367,0.0,0.0,5235_2_1
3141,5235_2_1.contig00812,366,0.0,0.0,5235_2_1
3142,5235_2_1.contig00813,364,0.0,0.0,5235_2_1
3143,5235_2_1.contig00814,363,0.0,0.0,5235_2_1
3144,5235_2_1.contig00815,363,0.0,0.0,5235_2_1
3145,5235_2_1.contig00816,359,0.0,0.0,5235_2_1
3146,5235_2_1.contig00817,353,0.0,0.0,5235_2_1
3147,5235_2_1.contig00818,353,0.0,0.0,5235_2_1
3148,5235_2_1.contig00819,349,0.0,0.0,5235_2_1
3149,5235_2_1.contig00820,347,0.0,0.0,5235_2_1
3150,5235_2_1.contig00821,346,0.0,0.0,5235_2_1
3151,5235_2_1.contig00822,340,0.0,0.0,5235_2_1
3152,5235_2_1.contig00823,334,0.0,0.0,5235_2_1
3153,5235_2_1.contig00824,333,0.0,0.0,5235_2_1
3154,5235_2_1.contig00825,329,0.0,0.0,5235_2_1
3155,5235_2_1.contig00826,328,0.0,0.0,5235_2_1
3156,5235_2_1.contig00827,326,0.0,0.0,5235_2_1
3157,5235_2_1.contig00828,325,0.0,0.0,5235_2_1
3158,5235_2_1.contig00829,321,0.0,0.0,5235_2_1
3159,5235_2_1.contig00830,321,0.0,0.0,5235_2_1
3160,5235_2_1.contig00831,315,0.0,0.0,5235_2_1
3161,5235_2_1.contig00832,315,0.0,0.0,5235_2_1
3162,5235_2_1.contig00833,314,0.0,0.0,5235_2_1
3163,5235_2_1.contig00834,312,0.0,0.0,5235_2_1
3164,5235_2_1.contig00835,310,0.0,0.0,5235_2_1
3165,5235_2_1.contig00836,309,0.0,0.0,5235_2_1
3166,5235_2_1.contig00837,305,0.0,0.0,5235_2_1
3167,5235_2_1.contig00838,304,0.0,0.0,5235_2_1
3168,5235_2_1.contig00839,304,0.0,0.0,5235_2_1
3169,5235_2_1.contig00840,302,0.0,0.0,5235_2_1
3170,5235_2_1.contig00841,289,0.0,0.0,5235_2_1
3171,5235_2_1.contig00842,283,0.0,0.0,5235_2_1
3172,5235_2_1.contig00843,279,0.0,0.0,5235_2_1
3173,5235_2_1.contig00844,277,0.0,0.0,5235_2_1
3174,5235_2_1.contig00845,277,0.0,0.0,5235_2_1
3175,5235_2_1.contig00846,269,0.0,0.0,5235_2_1
3176,5235_2_1.contig00847,268,0.0,0.0,5235_2_1
3177,5235_2_1.contig00848,263,0.0,0.0,5235_2_1
3178,5235_2_1.contig00849,261,0.0,0.0,5235_2_1
3179,5235_2_1.contig00850,260,0.0,0.0,5235_2_1
3180,5235_2_1.contig00851,260,0.0,0.0,5235_2_1
3181,5235_2_1.contig00852,259,0.0,0.0,5235_2_1
3182,5235_2_1.contig00853,258,0.0,0.0,5235_2_1
3183,5235_2_1.contig00854,257,0.0,0.0,5235_2_1
3184,5235_2_1.contig00855,257,0.0,0.0,5235_2_1
3185,5235_2_1.contig00856,256,0.0,0.0,5235_2_1
3186,5235_2_1.contig00857,250,0.0,0.0,5235_2_1
3187,5235_2_1.contig00858,250,0.0,0.0,5235_2_1
3188,5235_2_1.contig00859,247,0.0,0.0,5235_2_1
3189,5235_2_1.contig00860,244,0.0,0.0,5235_2_1
3190,5235_2_1.contig00861,243,0.0,0.0,5235_2_1
3191,5235_2_1.contig00862,242,0.0,0.0,5235_2_1
3192,5235_2_1.contig00863,240,0.0,0.0,5235_2_1
3193,5235_2_1.contig00864,239,0.0,0.0,5235_2_1
3194,5235_2_1.contig00865,237,0.0,0.0,5235_2_1
3195,5235_2_1.contig00866,235,0.0,0.0,5235_2_1
3196,5235_2_1.contig00867,232,0.0,0.0,5235_2_1
3197,5235_2_1.contig00868,231,0.0,0.0,5235_2_1
3198,5235_2_1.contig00869,231,0.0,0.0,5235_2_1
3199,5235_2_1.contig00870,230,0.0,0.0,5235_2_1
3200,5235_2_1.contig00871,225,0.0,0.0,5235_2_1
3201,5235_2_1.contig00872,225,0.0,0.0,5235_2_1
3202,5235_2_1.contig00873,223,0.0,0.0,5235_2_1
3203,5235_2_1.contig00874,218,0.0,0.0,5235_2_1
3204,5235_2_1.contig00875,213,0.0,0.0,5235_2_1
3205,5235_2_1.contig00876,212,0.0,0.0,5235_2_1
3206,5235_2_1.contig00877,212,0.0,0.0,5235_2_1
3207,5235_2_1.contig00878,211,0.0,0.0,5235_2_1
3208,5235_2_1.contig00879,210,0.0,0.0,5235_2_1
3209,5235_2_1.contig00880,208,0.0,0.0,5235_2_1
3210,5235_2_1.contig00881,206,0.0,0.0,5235_2_1
3211,5235_2_1.contig00882,202,0.0,0.0,5235_2_1
3212,5235_2_1.contig00883,187,0.0,0.0,5235_2_1
3213,5235_2_1.contig00884,184,0.0,0.0,5235_2_1
3214,5235_2_1.contig00885,184,0.0,0.0,5235_2_1
3215,5235_2_1.contig00886,175,0.0,0.0,5235_2_1
3216,5235_2_1.contig00887,172,0.0,0.0,5235_2_1
3217,5235_2_1.contig00888,167,0.0,0.0,5235_2_1
3218,5235_2_1.contig00889,165,0.0,0.0,5235_2_1
3219,5235_2_1.contig00890,157,0.0,0.0,5235_2_1
3220,5235_2_1.contig00891,153,0.0,0.0,5235_2_1
3221,5235_2_1.contig00892,151,0.0,0.0,5235_2_1
3222,5235_2_1.contig00893,151,0.0,0.0,5235_2_1
3223,5235_2_1.contig00894,150,0.0,0.0,5235_2_1
3224,5235_2_1.contig00895,147,0.0,0.0,5235_2_1
3225,5235_2_1.contig00896,137,0.0,0.0,5235_2_1
3226,5235_2_1.contig00897,135,0.0,0.0,5235_2_1
3227,5235_2_1.contig00898,132,0.0,0.0,5235_2_1
3228,5235_2_1.contig00899,128,0.0,0.0,5235_2_1
3229,5235_2_1.contig00900,127,0.0,0.0,5235_2_1
3230,5235_2_1.contig00901,124,0.0,0.0,5235_2_1
3231,5235_2_1.contig00902,123,0.0,0.0,5235_2_1
3232,5235_2_1.contig00903,120,0.0,0.0,5235_2_1
3233,5235_2_1.contig00904,120,0.0,0.0,5235_2_1
3234,5235_2_1.contig00905,114,0.0,0.0,5235_2_1
3235,5235_2_1.contig00906,114,0.0,0.0,5235_2_1
3236,5235_2_1.contig00907,114,0.0,0.0,5235_2_1
3237,5235_2_1.contig00908,113,0.0,0.0,5235_2_1
3238,5235_2_1.contig00909,113,0.0,0.0,5235_2_1
3239,5235_2_1.contig00910,112,0.0,0.0,5235_2_1
3240,5235_2_1.contig00911,111,0.0,0.0,5235_2_1
3241,5235_2_1.contig00912,111,0.0,0.0,5235_2_1
3242,5235_2_1.contig00913,111,0.0,0.0,5235_2_1
3243,5235_2_1.contig00914,110,0.0,0.0,5235_2_1
3244,5235_2_1.contig00915,110,0.0,0.0,5235_2_1
3245,5235_2_1.contig00916,109,0.0,0.0,5235_2_1
3246,5235_2_1.contig00917,109,0.0,0.0,5235_2_1
3247,5235_2_1.contig00918,109,0.0,0.0,5235_2_1
3248,5235_2_1.contig00919,109,0.0,0.0,5235_2_1
3249,5235_2_1.contig00920,109,0.0,0.0,5235_2_1
3250,5235_2_1.contig00921,109,0.0,0.0,5235_2_1
3251,5235_2_1.contig00922,108,0.0,0.0,5235_2_1
3252,5235_2_1.contig00923,108,0.0,0.0,5235_2_1
3253,5235_2_1.contig00924,108,0.0,0.0,5235_2_1
3254,5235_2_1.contig00925,108,0.0,0.0,5235_2_1
3255,5235_2_1.contig00926,108,0.0,0.0,5235_2_1
3256,5235_2_1.contig00927,108,0.0,0.0,5235_2_1
3257,5235_2_1.contig00928,108,0.0,0.0,5235_2_1
3258,5235_2_1.contig00929,107,0.0,0.0,5235_2_1
3259,5235_2_1.contig00930,107,0.0,0.0,5235_2_1
3260,5235_2_1.contig00931,106,0.0,0.0,5235_2_1
3261,5235_2_1.contig00932,103,0.0,0.0,5235_2_1
3262,5235_2_1.contig00933,103,0.0,0.0,5235_2_1
3263,5235_2_1.contig00934,102,0.0,0.0,5235_2_1
3264,5235_2_1.contig00935,102,0.0,0.0,5235_2_1
3265,5235_2_1.contig00936,102,0.0,0.0,5235_2_1
3266,5235_2_1.contig00937,102,0.0,0.0,5235_2_1
3267,5235_2_1.contig00938,102,0.0,0.0,5235_2_1
3268,5235_2_1.contig00939,102,0.0,0.0,5235_2_1
3269,5235_2_1.contig00940,102,0.0,0.0,5235_2_1
3270,5235_2_1.contig00941,102,0.0,0.0,5235_2_1
3271,5235_2_1.contig00942,102,0.0,0.0,5235_2_1
3272,5235_2_1.contig00943,102,0.0,0.0,5235_2_1
3273,5235_2_1.contig00944,101,0.0,0.0,5235_2_1
3407,5197_2_1.contig00001,452471,0.0,0.0,5197_2_1
3408,5197_2_1.contig00002,260513,0.0,0.0,5197_2_1
3409,5197_2_1.contig00003,215177,0.0,0.0,5197_2_1
3410,5197_2_1.contig00004,208514,0.0,0.0,5197_2_1
3411,5197_2_1.contig00005,187535,0.0,0.0,5197_2_1
3412,5197_2_1.contig00006,185647,0.0,0.0,5197_2_1
3413,5197_2_1.contig00007,177521,0.0,0.0,5197_2_1
3414,5197_2_1.contig00008,173681,0.0,0.0,5197_2_1
3415,5197_2_1.contig00009,171816,0.0,0.0,5197_2_1
3416,5197_2_1.contig00010,170658,0.0,0.0,5197_2_1
3417,5197_2_1.contig00011,127209,0.0,0.0,5197_2_1
3418,5197_2_1.contig00012,123982,0.0,0.0,5197_2_1
3419,5197_2_1.contig00013,121280,0.0,0.0,5197_2_1
3420,5197_2_1.contig00014,120850,0.0,0.0,5197_2_1
3421,5197_2_1.contig00015,119181,0.0,0.0,5197_2_1
3422,5197_2_1.contig00016,116926,0.0,0.0,5197_2_1
3423,5197_2_1.contig00017,105211,0.0,0.0,5197_2_1
3424,5197_2_1.contig00018,105209,0.0,0.0,5197_2_1
3425,5197_2_1.contig00019,100606,0.0,0.0,5197_2_1
3426,5197_2_1.contig00020,97963,0.0,0.0,5197_2_1
3427,5197_2_1.contig00021,94352,0.0,0.0,5197_2_1
3428,5197_2_1.contig00022,93114,0.0,0.0,5197_2_1
3429,5197_2_1.contig00023,91844,0.0,0.0,5197_2_1
3430,5197_2_1.contig00024,90431,0.0,0.0,5197_2_1
3431,5197_2_1.contig00025,86429,0.0,0.0,5197_2_1
3432,5197_2_1.contig00026,86196,0.0,0.0,5197_2_1
3433,5197_2_1.contig00027,85359,0.0,0.0,5197_2_1
3434,5197_2_1.contig00028,84137,0.0,0.0,5197_2_1
3435,5197_2_1.contig00029,80777,0.0,0.0,5197_2_1
3436,5197_2_1.contig00030,73448,0.0,0.0,5197_2_1
3437,5197_2_1.contig00031,69927,0.0,0.0,5197_2_1
3438,5197_2_1.contig00032,67059,0.0,0.0,5197_2_1
3439,5197_2_1.contig00033,64750,0.0,0.0,5197_2_1
3440,5197_2_1.contig00034,64565,0.0,0.0,5197_2_1
3441,5197_2_1.contig00035,58682,0.0,0.0,5197_2_1
3442,5197_2_1.contig00036,58326,0.0,0.0,5197_2_1
3443,5197_2_1.contig00037,56948,44343.0,0.7786577228348669,5197_2_1
3444,5197_2_1.contig00038,56067,0.0,0.0,5197_2_1
3445,5197_2_1.contig00039,53756,0.0,0.0,5197_2_1
3446,5197_2_1.contig00040,53039,0.0,0.0,5197_2_1
3447,5197_2_1.contig00041,45138,0.0,0.0,5197_2_1
3448,5197_2_1.contig00042,42113,0.0,0.0,5197_2_1
3449,5197_2_1.contig00043,38050,0.0,0.0,5197_2_1
3450,5197_2_1.contig00044,37316,0.0,0.0,5197_2_1
3451,5197_2_1.contig00045,35434,0.0,0.0,5197_2_1
3452,5197_2_1.contig00046,34678,0.0,0.0,5197_2_1
3453,5197_2_1.contig00047,34408,0.0,0.0,5197_2_1
3454,5197_2_1.contig00048,32825,0.0,0.0,5197_2_1
3455,5197_2_1.contig00049,32516,0.0,0.0,5197_2_1
3456,5197_2_1.contig00050,31336,19795.0,0.6317015573142711,5197_2_1
3457,5197_2_1.contig00051,29484,0.0,0.0,5197_2_1
3458,5197_2_1.contig00052,27866,0.0,0.0,5197_2_1
3459,5197_2_1.contig00053,26168,26173.0,1.0,5197_2_1
3460,5197_2_1.contig00054,22927,0.0,0.0,5197_2_1
3461,5197_2_1.contig00055,21385,0.0,0.0,5197_2_1
3462,5197_2_1.contig00056,20125,0.0,0.0,5197_2_1
3463,5197_2_1.contig00057,18535,0.0,0.0,5197_2_1
3464,5197_2_1.contig00058,18020,0.0,0.0,5197_2_1
3465,5197_2_1.contig00059,17284,0.0,0.0,5197_2_1
3466,5197_2_1.contig00060,15719,13344.0,0.8489089636745341,5197_2_1
3467,5197_2_1.contig00061,14666,0.0,0.0,5197_2_1
3468,5197_2_1.contig00062,14585,0.0,0.0,5197_2_1
3469,5197_2_1.contig00063,13946,0.0,0.0,5197_2_1
3470,5197_2_1.contig00064,12585,0.0,0.0,5197_2_1
3471,5197_2_1.contig00065,12013,0.0,0.0,5197_2_1
3472,5197_2_1.contig00066,11787,0.0,0.0,5197_2_1
3473,5197_2_1.contig00067,10948,0.0,0.0,5197_2_1
3474,5197_2_1.contig00068,10804,0.0,0.0,5197_2_1
3475,5197_2_1.contig00069,10479,0.0,0.0,5197_2_1
3476,5197_2_1.contig00070,10249,10202.0,0.9954141867499269,5197_2_1
3477,5197_2_1.contig00071,9053,4084.0,0.4511211753010052,5197_2_1
3478,5197_2_1.contig00072,8865,0.0,0.0,5197_2_1
3479,5197_2_1.contig00073,7998,0.0,0.0,5197_2_1
3480,5197_2_1.contig00074,7984,0.0,0.0,5197_2_1
3481,5197_2_1.contig00075,7523,0.0,0.0,5197_2_1
3482,5197_2_1.contig00076,7129,0.0,0.0,5197_2_1
3483,5197_2_1.contig00077,6180,0.0,0.0,5197_2_1
3484,5197_2_1.contig00078,6065,0.0,0.0,5197_2_1
3485,5197_2_1.contig00079,5904,5798.0,0.9820460704607046,5197_2_1
3486,5197_2_1.contig00080,5901,0.0,0.0,5197_2_1
3487,5197_2_1.contig00081,5505,0.0,0.0,5197_2_1
3488,5197_2_1.contig00082,5480,0.0,0.0,5197_2_1
3489,5197_2_1.contig00083,4663,0.0,0.0,5197_2_1
3490,5197_2_1.contig00084,4592,0.0,0.0,5197_2_1
3491,5197_2_1.contig00085,4443,4346.0,0.978167904568985,5197_2_1
3492,5197_2_1.contig00086,4435,0.0,0.0,5197_2_1
3493,5197_2_1.contig00087,4254,4261.0,1.0,5197_2_1
3494,5197_2_1.contig00088,4147,0.0,0.0,5197_2_1
3495,5197_2_1.contig00089,4107,0.0,0.0,5197_2_1
3496,5197_2_1.contig00090,4089,4095.0,1.0,5197_2_1
3497,5197_2_1.contig00091,4087,0.0,0.0,5197_2_1
3498,5197_2_1.contig00092,4061,0.0,0.0,5197_2_1
3499,5197_2_1.contig00093,4055,0.0,0.0,5197_2_1
3500,5197_2_1.contig00094,3726,0.0,0.0,5197_2_1
3501,5197_2_1.contig00095,3671,0.0,0.0,5197_2_1
3502,5197_2_1.contig00096,3651,0.0,0.0,5197_2_1
3503,5197_2_1.contig00097,3264,2855.0,0.8746936274509803,5197_2_1
3504,5197_2_1.contig00098,3164,3168.0,1.0,5197_2_1
3505,5197_2_1.contig00099,2949,2502.0,0.8484231943031536,5197_2_1
3506,5197_2_1.contig00100,2922,0.0,0.0,5197_2_1
3507,5197_2_1.contig00101,2842,0.0,0.0,5197_2_1
3508,5197_2_1.contig00102,2613,0.0,0.0,5197_2_1
3509,5197_2_1.contig00103,2607,0.0,0.0,5197_2_1
3510,5197_2_1.contig00104,2538,0.0,0.0,5197_2_1
3511,5197_2_1.contig00105,2454,0.0,0.0,5197_2_1
3512,5197_2_1.contig00106,2402,0.0,0.0,5197_2_1
3513,5197_2_1.contig00107,2297,0.0,0.0,5197_2_1
3514,5197_2_1.contig00108,2294,0.0,0.0,5197_2_1
3515,5197_2_1.contig00109,2221,0.0,0.0,5197_2_1
3516,5197_2_1.contig00110,2160,0.0,0.0,5197_2_1
3517,5197_2_1.contig00111,2118,0.0,0.0,5197_2_1
3518,5197_2_1.contig00112,2033,0.0,0.0,5197_2_1
3519,5197_2_1.contig00113,2018,2020.0,1.0,5197_2_1
3520,5197_2_1.contig00114,2015,0.0,0.0,5197_2_1
3521,5197_2_1.contig00115,1991,0.0,0.0,5197_2_1
3522,5197_2_1.contig00116,1903,1904.0,1.0,5197_2_1
3523,5197_2_1.contig00117,1808,0.0,0.0,5197_2_1
3524,5197_2_1.contig00118,1742,0.0,0.0,5197_2_1
3525,5197_2_1.contig00119,1739,1741.0,1.0,5197_2_1
3526,5197_2_1.contig00120,1737,0.0,0.0,5197_2_1
3527,5197_2_1.contig00121,1658,0.0,0.0,5197_2_1
3528,5197_2_1.contig00122,1631,1443.0,0.8847332924586143,5197_2_1
3529,5197_2_1.contig00123,1604,0.0,0.0,5197_2_1
3530,5197_2_1.contig00124,1588,0.0,0.0,5197_2_1
3531,5197_2_1.contig00125,1536,0.0,0.0,5197_2_1
3532,5197_2_1.contig00126,1532,0.0,0.0,5197_2_1
3533,5197_2_1.contig00127,1406,0.0,0.0,5197_2_1
3534,5197_2_1.contig00128,1371,1373.0,1.0,5197_2_1
3535,5197_2_1.contig00129,1357,1358.0,1.0,5197_2_1
3536,5197_2_1.contig00130,1345,0.0,0.0,5197_2_1
3537,5197_2_1.contig00131,1328,1329.0,1.0,5197_2_1
3538,5197_2_1.contig00132,1279,0.0,0.0,5197_2_1
3539,5197_2_1.contig00133,1263,0.0,0.0,5197_2_1
3540,5197_2_1.contig00134,1220,0.0,0.0,5197_2_1
3541,5197_2_1.contig00135,1217,0.0,0.0,5197_2_1
3542,5197_2_1.contig00136,1198,0.0,0.0,5197_2_1
3543,5197_2_1.contig00137,1182,0.0,0.0,5197_2_1
3544,5197_2_1.contig00138,1159,1161.0,1.0,5197_2_1
3545,5197_2_1.contig00139,1148,0.0,0.0,5197_2_1
3546,5197_2_1.contig00140,1146,0.0,0.0,5197_2_1
3547,5197_2_1.contig00141,1106,0.0,0.0,5197_2_1
3548,5197_2_1.contig00142,1100,0.0,0.0,5197_2_1
3549,5197_2_1.contig00143,1077,1078.0,1.0,5197_2_1
3550,5197_2_1.contig00144,1057,1058.0,1.0,5197_2_1
3551,5197_2_1.contig00145,1038,0.0,0.0,5197_2_1
3552,5197_2_1.contig00146,1001,0.0,0.0,5197_2_1
3553,5197_2_1.contig00147,998,0.0,0.0,5197_2_1
3554,5197_2_1.contig00148,996,0.0,0.0,5197_2_1
3555,5197_2_1.contig00149,943,0.0,0.0,5197_2_1
3556,5197_2_1.contig00150,932,0.0,0.0,5197_2_1
3557,5197_2_1.contig00151,909,0.0,0.0,5197_2_1
3558,5197_2_1.contig00152,842,0.0,0.0,5197_2_1
3559,5197_2_1.contig00153,822,0.0,0.0,5197_2_1
3560,5197_2_1.contig00154,820,0.0,0.0,5197_2_1
